 skipping time for ppp, skipping time for tcp, moving velocity of a user, intensity for ppp, parent intensity for tcp, daughter intensity for tcp, daighter variance for tcp, transmitting power for ppp (macro base stations), transmitting power for tcp (small base stations), path-loss exponent," curve type <<must be either of ""straight""/""circle""/""spiral"">>"
0,0,0.02,1,5,5,0.1,1,0.001,4,straight
1,1,0.02,1,5,5,0.1,1,0.001,4,straight
2,2,0.02,1,5,5,0.1,1,0.001,4,straight
3,3,0.02,1,5,5,0.1,1,0.001,4,straight
4,4,0.02,1,5,5,0.1,1,0.001,4,straight
5,5,0.02,1,5,5,0.1,1,0.001,4,straight
6,6,0.02,1,5,5,0.1,1,0.001,4,straight
7,7,0.02,1,5,5,0.1,1,0.001,4,straight
8,8,0.02,1,5,5,0.1,1,0.001,4,straight
9,9,0.02,1,5,5,0.1,1,0.001,4,straight
10,10,0.02,1,5,5,0.1,1,0.001,4,straight
11,11,0.02,1,5,5,0.1,1,0.001,4,straight
12,12,0.02,1,5,5,0.1,1,0.001,4,straight
13,13,0.02,1,5,5,0.1,1,0.001,4,straight
14,14,0.02,1,5,5,0.1,1,0.001,4,straight
15,15,0.02,1,5,5,0.1,1,0.001,4,straight
16,16,0.02,1,5,5,0.1,1,0.001,4,straight
17,17,0.02,1,5,5,0.1,1,0.001,4,straight
18,18,0.02,1,5,5,0.1,1,0.001,4,straight
19,19,0.02,1,5,5,0.1,1,0.001,4,straight
20,20,0.02,1,5,5,0.1,1,0.001,4,straight
