skipping time1 (macro),skipping time2 (small),instantaneous data rate1 (macro),instantaneous data rate2 (small),average data rate1 (macro),average data rate2 (small)
1e-08,1e-08,0.6614216388622175,0.6999209214571024,,
1.0,1.0,0.661913348248173,0.6478631776110192,0.6614216388622175,0.6999209214571024
2.0,2.0,0.6592954097003125,0.5164367440906131,0.6616674935551953,0.6738920495340608
3.0,3.0,0.656834971669384,0.38435099498605213,0.660876798936901,0.6214069477195783
4.0,4.0,0.6516055995829245,0.27202368304274005,0.6598663421200217,0.5621429595361968
5.0,5.0,0.6400300386855573,0.18574025911994588,0.6582141936126022,0.5041191042375054
6.0,6.0,0.629764857949801,0.12180057012295077,0.6551835011247614,0.4510559633845788
7.0,7.0,0.6235152771320647,0.07650781785765116,0.6515522663854814,0.4040194786329177
8.0,8.0,0.6129545711930221,0.04688969474210491,0.6480476427288042,0.3630805210360094
9.0,9.0,0.5959249870556113,0.02842789762205975,0.6441484125581618,0.32794820700335336
10.0,10.0,0.5823427858966241,0.017270012154276843,0.6393260700079068,0.297996176065224
11.0,11.0,0.574789746919664,0.0108115097162707,0.6341457714523355,0.2724756157096833
12.0,12.0,0.5659310068058517,0.007079949065496309,0.6291994360746129,0.25067027354356564
13.0,13.0,0.5487447280688736,0.004888255842304225,0.6243326338231697,0.23193255627602186
14.0,14.0,0.5289194881759537,0.0035509087316033415,0.6189334976978629,0.215715106245042
15.0,15.0,0.5124037718989006,0.0026871672505813468,0.6129325637297356,0.20157082641081278
16.0,16.0,0.49966135740834505,0.002092148397843941,0.6066495142403084,0.1891405977132983
17.0,17.0,0.48740062163491754,0.0016562388062551611,0.6003560932501929,0.1781377477535657
18.0,18.0,0.47195082972094293,0.0013204331740032799,0.5940807892715665,0.16833321947871513
19.0,19.0,0.45179529391740764,0.0010533149191440246,0.5876528966636388,0.1595430728310987
20.0,20.0,0.4295475713781342,0.0008370000935735983,0.5808600165263273,0.15161858493550096
