skipping time1 (macro),skipping time2 (small),handover rate1 (macro),handover rate2 (small)
0.0,0.0,,
1.0,1.0,0.011989022522677417,0.03942983229524366
2.0,2.0,0.017655444853078683,0.05202240333670255
3.0,3.0,0.02468771734024805,0.05956958046764574
4.0,4.0,0.030288281630278302,0.06113825935111407
5.0,5.0,0.033370887904987226,0.05939146525200175
6.0,6.0,0.034035181192906216,0.05617494829442373
7.0,7.0,0.03307045014456695,0.05221122042502309
8.0,8.0,0.03131350829549992,0.04817298904715508
9.0,9.0,0.02937564719302148,0.044322376441863424
10.0,10.0,0.027561856344856323,0.040706963504934204
11.0,11.0,0.02597528126380074,0.03748598705808839
12.0,12.0,0.024627946288037907,0.034631088714771746
13.0,13.0,0.023483575555003113,0.032113124869274895
14.0,14.0,0.022504786879561985,0.029902449227843967
15.0,15.0,0.021658056453972944,0.027956897543261198
16.0,16.0,0.020917996521429116,0.026233787123081942
17.0,17.0,0.020264155791527416,0.024703705701281387
18.0,18.0,0.019680607128181864,0.023338023808388418
19.0,19.0,0.01915479851415973,0.022112688001997303
20.0,20.0,0.018676665985274885,0.021008439087478514
